Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
274	11	49	3	0	0	3	46
275	11	58	24	0	0	24	34
276	10	41	3	0	0	3	38
277	11	56	26	0	0	26	30
278	10	40	8	4	0	12	28
279	10	36	6	4	0	10	26
280	9	28	6	4	0	10	18
281	10	36	4	4	0	8	28
282	10	40	4	2	0	6	34
283	11	49	4	0	0	4	45
284	11	58	28	0	0	28	30
285	10	41	4	0	0	4	37
286	10	44	4	4	0	8	36
287	11	60	16	0	0	16	44
288	11	57	16	0	0	16	41
289	11	56	8	0	0	8	48
290	11	56	8	0	0	8	48
291	10	44	8	0	0	8	36
292	10	40	12	2	0	14	26
293	10	41	6	0	0	6	35
294	10	36	4	4	0	8	28
295	10	36	6	0	0	6	30
296	9	28	4	4	0	8	20
297	12	72	32	0	0	32	40
298	11	56	8	8	0	16	40
299	11	52	8	4	0	12	40
300	11	52	8	0	0	8	44
301	10	40	8	4	0	12	28
302	11	60	4	4	0	8	52
303	12	72	8	0	0	8	64
304	13	88	32	0	0	32	56
305	12	72	32	0	0	32	40
306	11	56	8	8	0	16	40
307	11	52	12	0	0	12	40
308	11	56	6	0	0	6	50
309	11	52	4	4	0	8	44
310	12	64	12	0	0	12	52
311	11	52	8	0	0	8	44
312	11	52	8	0	0	8	44
313	10	40	4	0	0	4	36
314	12	72	20	0	0	20	52
315	11	56	6	4	0	10	46
316	11	52	8	2	0	10	42
317	11	52	12	0	0	12	40
318	10	40	8	2	0	10	30
319	11	52	4	0	0	4	48
320	11	52	6	0	0	6	46
321	11	56	32	0	0	32	24
322	10	40	4	0	0	4	36
323	11	57	8	2	0	10	47
324	10	44	8	4	0	12	32
325	11	56	8	0	0	8	48
326	11	60	24	0	0	24	36
327	10	44	8	4	0	12	32
328	11	56	8	0	0	8	48
329	11	60	16	0	0	16	44
330	11	60	16	0	0	16	44
331	11	60	8	2	0	10	50
332	11	60	20	0	0	20	40
333	12	72	32	0	0	32	40
334	11	56	8	8	0	16	40
335	12	72	32	0	0	32	40
336	11	56	32	0	0	32	24
337	11	56	8	0	0	8	48
338	11	60	24	0	0	24	36
339	10	44	8	4	0	12	32
340	10	44	8	4	0	12	32
341	10	44	24	0	0	24	20
342	10	40	8	2	0	10	30
343	10	40	4	2	0	6	34
344	10	40	4	2	0	6	34
